Eli Bowen
Patricia Bailey
Ronald Bailey
Sue Bailey
Mitch Bainwol
Charles Baird
William Baird
Jean-Claude Bajeux
Vadim Bakatin
Alan Baker
Benny Baker
Colin Baker
David Baker
Edward Baker
Ellen Baker
Gordon Baker
Howard Baker
Jim Baker
John Baker
Josh Baker
Kenneth Baker
Linda Baker
Peter Baker
Raymond Baker
Richard Baker
Rob Baker
Robert Baker
Ruth Baker
Scott Baker
Shirley Baker
Steve Baker
Susan Baker
Ted Baker
Tim Baker
Tom Baker
Walter Baker
William Baker
Danny Bakewell
Shaul Bakhash
Robert Bakker
Malcolm Baldrige
Alfred Baldwin
David Baldwin
Sally Baldwin
Carol Ball
Harry Ball
Jane Ball
Robert Ball
William Ball
M. Russell Ballard
Robert Ballard
Ida Ballasiotes
Bill Ballenger
Bill Ballinger
Liz Balmaseda
David Baltimore
Dan Balz
Helen Bamber
James Bamford
Joseph Banda
Doug Bandow
Howard Bane
Mary Jo Bane
Ernie Banks
Robert Banks
William Banks
Roger Bannister
Bette Bao Lord
Jean Baptiste
Michael Bar-Zohar
David Barasch
Randy Barbato
Dan Barber
James David Barber
Lionel Barber
Red Barber
Joseph Barbera
Klaus Barbie
Haley Barbour
Joseph Barboza
Gabriel Barkay
Bernard Barker
Bob Barker
Danny Barker
David Barker
Jack Barker
Paul Barker
Terry Barker
Trevor Barker
Ben Barkin
William Barloon
John Perry Barlow
Ann Barnes
Ben Barnes
Cliff Barnes
Edward Barnes
Kenneth Barnes
Kurt Barnes
Michael Barnes
Susan Barnes
Richard Barnet
Gary Barnett
Henry Barnett
Richard Barnett
Rosalind Barnett
Ross Barnett
Tim Barnett
Jerry Barnhart
Ryan Barnhart
Mike Barnicle
David Barno
Ana Baron
Michael Barone
Michael Baroody
Bob Barr
Jesse Barr
Joel Barr
Roseanne Barr
Thomas Barr
William Barr
Robert Barret
Jim Barrett
Mary Ellin Barrett
Michelle Barrett
Rona Barrett
Steven Barrett
Thomas Barrett
Dennis Barrie
Luis Barrios
Charles Barron
Nita Barrow
Willie Barrow
Don Barry
James Barry
John Barry
Robert Barry
Drew Barrymore
David Barstow
Peter Bart
James Barth
John Barth
Richard Barth
Elizabeth Bartholet
Maria Bartiromo
Bruce Bartlett
Dan Bartlett
David Bartlett
Brenda Barton
David Barton
Donald Barton
Frederick Barton
Harriet Barton
Ken Barton
Michael Barton
Rick Barton
Hanoch Bartov
Shamil Basayev
Martin Bashir
Tahseen Bashir
Count Basie
John Baskerville
Roberta Baskin
M. Cherif Bassiouni
Joseph Bast
David Bateman
Justine Bateman
Daisy Bates
David Bates
Edward Bates
Greg Bates
John Bates
Robert Bates
Roger Bates
David Bathurst
Ravi Batra
Shane Battier
Kathleen Battle
Devin Battley
Max Baucus
Mike Bauer
Siegfried Bauer
Yehuda Bauer
John Baugh
Barbara Baum
Charles Baum
John Baum
Thomas Baum
Bruce Baumgartner
Peter Bavasi
James Baxter
Jim Baxter
Raymond Baxter
Austin Bay
Bill Bay
Norman Bay
Evan Bayh
Skip Bayless
Don Baylor
Emily Bazelon
Howard Beach
William Beale
Fozzie Bear
Charles Beard
Michael Beard
Milton Bearden
David Beasley
Michael Beasley
Tom Beasley
Bob Beattie
Dave Beattie
John Beatty
Joyce Beatty
Warren Beatty
Keith Beauchamp
Hugh Beaumont
Paul Beaver
Xavier Becerra
Corey Beck
David Beck
Marilyn Beck
Beck
Bob Beckel
Dan Becker
Douglas Becker
Elizabeth Becker
Howard Becker
Jeff Becker
Lawrence Becker
Michael Becker
Ross Becker
Steven Becker
David Beckham
John Beckman
Sandra Beckwith
Patrick Bedard
Precious Bedell
Steve Bedrosian
Charlotte Beers
Rand Beers
J. Carter Beese
Paul Begala
Kelsey Begaye
Menachem Begin
Ed Begley
Kathleen Behan
Richard Behar
Edward Behr
Yossi Beilin
Peter Bekes
Barbara Bel Geddes
Harry Belafonte
Mark Belanger
David Belin
Aaron Belkin
Blake Bell
Bob Bell
Carl Bell
David Bell
Derrick Bell
Griffin Bell
Jack Bell
James Bell
Jeffrey Bell
John Bell
Joshua Bell
Kathleen Bell
Kenneth Bell
Kerwin Bell
Linda Bell
Martin Bell
Peter Bell
Robert Bell
Samuel Bell
Steve Bell
Terrel Bell
Thomas Bell
Tom Bell
William Bell
Carol Bellamy
Melvin Belli
Vasily Belov
Josh Belsky
John Belushi
Ron Ben-Israel
Richard Ben-Veniste
Pat Benatar
Johnny Bench
Harold Bender
Walter Bender
Benedict XVI
Tex Beneke
Flip Benham
Daniel Benjamin
Elizabeth Benjamin
Joel Benjamin
Richard Benjamin
Alvin Benn
Anthony Benn
Al Bennett
Donald Bennett
Elaine Bennett
Elizabeth Bennett
Joel Bennett
Jon Bennett
Lee Bennett
Mike Bennett
Rick Bennett
Robert Bennett
Steve Bennett
Steven Bennett
Tony Bennett
Jamal Benomar
Janet Benshoof
Don Benson
Eugene Benson
Herbert Benson
Joanne Benson
Mark Benson
Ross Benson
Sheila Benson
Michael Bent
Ed Bentley
Joe Benton
Lloyd Bentsen
Meron Benvenisti
Joseph Berardino
Michael Berenbaum
Paul Berendt
Doug Bereuter
Valentin Berezhkov
Boris Berezovsky
Alan Berg
Anton Berg
Martin Berg
Sarah Berg
Vera Berg
Wally Berg
Candice Bergen
Peter Bergen
Cindy Berger
Herbert Berger
Leo Berger
Marilyn Berger
Meyer Berger
Mikhail Berger
Sandy Berger
David Bergland
Jules Bergman
Lowell Bergman
Robert Bergman
Ronen Bergman
C. Fred Bergsten
Robert Berke
Ira Berkow
Bob Berkowitz
Milton Berle
Chip Berlet
Fred Berlin
Irving Berlin
Max Berlin
David Berliner
Chris Berman
Doug Berman
Harris Berman
Howard Berman
Jennifer Berman
John Berman
Josh Berman
Daniel Bernard
Eddie Bernard
Joseph Bernardin
Douglas Bernheim
Walter Berns
Hal Bernson
Arnie Bernstein
Bob Bernstein
Carl Bernstein
Carol Bernstein
Michael Bernstein
Neil Bernstein
Bobby Berosini
Yogi Berra
Nabih Berri
Fernando Berrocal Soto
Jason Berry
Louis Berry
Mary Frances Berry
Peter Berry
William Berry
Alan Bersin
Richard Berthold
Sarah Bertram
John Bertrand
Michael Beschloss
Alexander Bessmertnykh
Paul Best
Robert Best
Hennie Bester
Gary Bettman
Jonathan Betts
Richard Betts
Herbert Beukes
Bill Beutel
Peter Beutel
Peter Bhatia
Benazir Bhutto
Kenneth Bianchi
Rodolfo Biazon
Elez Biberaj
Jack Bicknell
Owen Bieber
Steve Bieda
Henry Bienen
Charles Bierbauer
John Bierman
John Biffen
Big Bird
Frank Bigelow
Dan Bigg
Barton Biggs
Ladan Bijani
Laleh Bijani
Daniel Bilalian
Paul Billings
James Billington
Sarah Binder
Tom Binford
Jeff Bingaman
Howard Bingham
William Bingham
Connie Binsfeld
Michael Binyon
Frank Biondi
Carol Birch
Elizabeth Birch
Rose Bird
Brian Birdwell
Joe Birkett
Jeffrey Birnbaum
Steve Birnbaum
Abdullah Bishara
Ann Bishop
James Bishop
Jerry Bishop
Larry Bishop
Mary Bishop
Maurice Bishop
Sanford Bishop
Joan Biskupic
Lise Bissonnette
Sergio Bitar
Jim Bittermann
Ladislav Bittman
Ivan Bizhan
Charles Black
Charlotte Black
Cofer Black
Don Black
Earl Black
Gary Black
Jane Black
Lewis Black
Merle Black
Richard Black
Rick Black
Robert Black
Roy Black
William Black
Tom Blackaller
Fred Blackburn
Harry Blackmun
James Blackwell
Nina Blackwood
Joan Blades
Rod Blagojevich
Victor Blagov
Barbara Blaine
Bruce Blair
Tom Blair
Tony Blair
Stephen Blaire
Herbert Blaize
Charles Blake
Ron Blake
John Blakely
Michael Blakemore
Marion Blakey
Charles Blanchard
James Blanchard
Kathleen Blanco
Arthur Blank
Larry Blank
David Blankenhorn
Tony Blankley
Sepp Blatter
Michael Blau
Barry Blechman
Robert Blendon
Dean Blevins
Hans Blix
John Bloch
Lucie Bloch
Sonny Bloch
John Block
Mitchell Block
Sherman Block
Susan Block
Henry Blodget
Kirk Bloodsworth
Linda Bloodworth-Thomason
David Bloom
Lisa Bloom
Louis Bloom
Michael Bloom
Stephen Bloom
Tony Bloom
Michael Bloomberg
James Blue
Barry Bluestone
Howard Blum
Jack Blum
Scott Blum
Bruce Blumberg
Sidney Blumenthal
Susan Blumenthal
Alfred Blumstein
David Blunkett
Peter Boag
Walter Boasso
Louis Boccardi
Steven Bochco
Sherwood Boehlert
John Boehner
Allan Boesak
Robert Boettcher
Humphrey Bogart
Leo Bogart
Anatoly Bogdanov
George Bogen
Michael Boggs
Donald Bogle
John Bogle
David Boies
Sissela Bok
Joe Boland
Charles Bolden
Clint Bolick
Richard Bolles
Nick Bollettieri
Bruce Bolling
Jack Bologna
Vladimir Bolshakov
Bruce Bolt
Dan Bolton
David Bolton
John Bolton
Terrell Bolton
Tom Bolton
Mary Bonauto
Alan Bond
Christopher Bond
Clifford Bond
David Bond
Julian Bond
Henry Bonilla
Luis Bonilla
Don Bonker
Jack Bonner
Raymond Bonner
Robert Bonner
William Bonner
Robert Bonneville
Sonny Bono
Blase Bonpane
Hyman Bookbinder
Pat Boone
Roger Boone
Neal Boortz
James Booth
Lauren Booth
Neil Boothby
James Bopp
Andrew Boraine
John Borden
Severin Borenstein
Ernest Borgnine
Aleksandr Borisov
Frank Borman
Steve Bornstein
Artyom Borovik
Genrikh Borovik
Halina Bortnowska
Carel Boshoff
Thomas Boswell
Natalio Botana
Evelyn Botella
Andries Botha
P. W. Botha
Robert Bothwell
Leon Botstein
Thomas Bouchard
Richard Boucher
Peter Bouckaert
Jo Ivey Boufford
Anthony Bourdain
Peter Bours
Nora Boustany
Jim Bouton
Boutros Boutros-Ghali
Elizabeth Bouvia
Bobby Bowden
Mark Bowden
Jeremy Bowen
Jim Bowen
Sally Bowen
Sam Bowen
Kate Bowers
Lisa Bowers
John Bowes
John Bowis
Pat Bowlen
Erskine Bowles
David Bowling
Kenneth Bowling
David Bowman
Jeff Bowman
Barbara Boxer
Alan Boyd
Bob Boyd
Dana Boyd
Edward Boyd
Mary Boyd
Michael Boyd
Stephen Boyd
Wes Boyd
John Boyden
Mark Boyer
Richard Boyer
Brian Boyle
Gregory Boyle
Kevin Boyle
Philip Boyle
Robert Boyle
